source	sample	population	superpopulation
cgg-afr	CGG2014211	JU2	AFR
cgg-afr	CGG2014216	JU2	AFR
cgg-afr	CGG2014226	JU2	AFR
cgg-afr	CGG2014233	JU2	AFR
cgg-afr	CGG2014236	JU2	AFR
cgg-afr	CGG2014304	VKU	AFR
cgg-afr	CGG2014305	VKU	AFR
cgg-afr	CGG2014308	VKU	AFR
cgg-afr	CGG2014313	VKU	AFR
cgg-afr	CGG2014319	VKU	AFR
cgg-afr	CGG2014113	XOO	AFR
cgg-afr	CGG2014115	XOO	AFR
cgg-afr	CGG2014119	XOO	AFR
cgg-afr	CGG2014133	XOO	AFR
cgg-afr	CGG2014127	XON	AFR
cgg-afr	CGG2014141	HAX	AFR
cgg-afr	CGG2014153	HAX	AFR
cgg-afr	CGG2014156	HAX	AFR
cgg-afr	CGG2014159	HAX	AFR
cgg-afr	CGG2014160	HAX	AFR
cgg-afr	CGG2013653	XHO	AFR
cgg-afr	CGG2013654	XHO	AFR
cgg-afr	CGG2013657	XHO	AFR
cgg-afr	CGG2012406	THK	AFR
cgg-afr	CGG2012408	THK	AFR
cgg-afr	CGG2012409	THK	AFR
cgg-afr	CGG2012411	THK	AFR
cgg-afr	CGG2012412	THK	AFR
cgg-afr	CGG2012624	LOW	AFR
cgg-afr	CGG2012633	LOW	AFR
cgg-afr	CGG2012641	LOW	AFR
cgg-afr	CGG2012643	LOW	AFR
cgg-afr	CGG2012644	LOW	AFR
cgg-afr	CGG2012514	BON	AFR
cgg-afr	CGG2012520	BON	AFR
cgg-afr	CGG2012529	BON	AFR
cgg-afr	CGG2012538	BON	AFR
cgg-afr	CGG2012549	BON	AFR
cgg-afr	CGG2012556	DAH	AFR
cgg-afr	CGG2012558	DAH	AFR
cgg-afr	CGG2012559	DAH	AFR
cgg-afr	CGG2012561	DAH	AFR
cgg-afr	CGG2012574	DAH	AFR
cgg-afr	CGG2012300	ELM	AFR
cgg-afr	CGG2012301	ELM	AFR
cgg-afr	CGG2012305	ELM	AFR
cgg-afr	CGG2012316	ELM	AFR
cgg-afr	CGG2012333	ELM	AFR