source	sample	sex	population	population_name	population_desc	superpopulation	superpopulation_name	latitude	longitude
ggvp	SC_GMJOL5309904	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309905	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309906	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309907	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309911	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309912	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309913	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309914	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309917	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309918	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309919	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309920	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309921	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309922	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309925	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309926	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309927	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309928	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309929	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309930	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309933	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309934	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309935	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309936	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309937	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309939	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309940	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309941	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309942	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309943	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309944	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309945	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309948	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309949	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309950	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309951	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309952	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309953	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309956	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309957	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309958	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309959	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309960	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309961	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309963	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309964	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309965	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309966	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309967	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309968	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309969	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309971	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309972	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309973	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309974	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309975	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309976	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309977	male	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309979	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309980	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309981	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309982	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309983	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309984	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMJOL5309985	female	GWJ	Gambian Jola	Gambian in Western Division, The Gambia - Jola	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482162	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482163	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482164	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482165	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482168	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482169	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482170	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482171	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482172	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482173	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482176	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482177	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482178	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482180	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482181	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482184	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482185	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482186	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482187	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482189	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482191	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482192	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482193	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482194	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482195	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482197	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482199	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482200	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482201	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482202	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482203	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482205	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482207	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482208	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482209	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482211	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482212	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482213	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482215	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482216	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482217	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482219	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482220	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482221	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482223	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482224	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482225	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482227	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482228	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482229	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482231	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482232	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482233	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482234	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482235	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482236	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482239	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482240	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482241	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482242	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482243	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482244	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482247	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482248	female	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482250	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482251	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
ggvp	SC_GMMAN5482252	male	GWD	Gambian Mandinka	Gambian in Western Division, The Gambia - Mandinka	AFR	African Ancestry	13.454876	-16.579032
